日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-03-14,0.697,0.699,0.71,0.693,5512887,386371712.0,2.43,-0.29,-0.002,1.59
2024-03-15,0.696,0.704,0.71,0.695,4462337,313529881.0,2.15,0.72,0.005,1.29
2024-03-18,0.701,0.704,0.704,0.694,4518373,316653139.0,1.42,0.0,0.0,1.3
2024-03-19,0.702,0.712,0.718,0.698,6992896,497812349.0,2.84,1.14,0.008,2.01
2024-03-20,0.708,0.709,0.712,0.705,3419712,242371762.0,0.98,-0.42,-0.003,0.98
2024-03-21,0.71,0.712,0.719,0.707,4013815,285898172.0,1.69,0.42,0.003,1.16
2024-03-22,0.711,0.696,0.711,0.691,5141940,358473849.0,2.81,-2.25,-0.016,1.48
2024-03-25,0.692,0.689,0.695,0.684,3746590,258380190.0,1.58,-1.01,-0.007,1.08
2024-03-26,0.69,0.7,0.702,0.688,5422031,377883881.0,2.03,1.6,0.011,1.56
2024-03-27,0.699,0.691,0.702,0.689,3996235,277760503.0,1.86,-1.29,-0.009,1.15
2024-03-28,0.688,0.692,0.7,0.686,3883788,269120794.0,2.03,0.14,0.001,1.12
2024-03-29,0.69,0.691,0.695,0.686,3391315,234110393.0,1.3,-0.14,-0.001,0.98
2024-04-01,0.695,0.71,0.717,0.694,6967427,493675188.0,3.33,2.75,0.019,2.01
2024-04-02,0.709,0.706,0.711,0.703,4428838,313139366.0,1.13,-0.56,-0.004,1.28
2024-04-03,0.709,0.706,0.714,0.701,3944272,278974408.0,1.84,0.0,0.0,1.14
2024-04-08,0.701,0.678,0.701,0.677,6150239,419704409.0,3.4,-3.97,-0.028,1.77
2024-04-09,0.675,0.679,0.683,0.673,3341222,226215726.0,1.47,0.15,0.001,0.96
2024-04-10,0.678,0.668,0.679,0.664,5424500,362709704.0,2.21,-1.62,-0.011,1.56
2024-04-11,0.664,0.669,0.669,0.662,3713551,247107108.0,1.05,0.15,0.001,1.07
2024-04-12,0.668,0.658,0.673,0.656,3917183,259591843.0,2.54,-1.64,-0.011,1.13
2024-04-15,0.656,0.678,0.681,0.655,5655249,380722089.0,3.95,3.04,0.02,1.63
2024-04-16,0.675,0.666,0.677,0.664,3740939,250516287.0,1.92,-1.77,-0.012,1.08
2024-04-17,0.666,0.669,0.67,0.663,3539729,236114797.0,1.05,0.45,0.003,1.02
2024-04-18,0.667,0.67,0.678,0.661,4141387,277765718.0,2.54,0.15,0.001,1.19
2024-04-19,0.665,0.659,0.666,0.655,4193130,276520344.0,1.64,-1.64,-0.011,1.21
2024-04-22,0.663,0.673,0.678,0.662,4561185,306306090.0,2.43,2.12,0.014,1.31
2024-04-23,0.673,0.683,0.683,0.671,5234307,355442469.0,1.78,1.49,0.01,1.51
2024-04-24,0.683,0.684,0.685,0.675,4004982,272764798.0,1.46,0.15,0.001,1.15
2024-04-25,0.68,0.68,0.683,0.675,2462331,167195868.0,1.17,-0.58,-0.004,0.71
2024-04-26,0.682,0.695,0.698,0.682,4470498,308800755.0,2.35,2.21,0.015,1.29
2024-04-29,0.692,0.701,0.712,0.689,7138613,501431695.0,3.31,0.86,0.006,2.06
2024-04-30,0.701,0.699,0.711,0.698,3966990,279365286.0,1.85,-0.29,-0.002,1.14
2024-05-06,0.709,0.724,0.733,0.709,8731153,632439392.0,3.43,3.58,0.025,2.51
2024-05-07,0.724,0.727,0.729,0.716,4389268,317971122.0,1.8,0.41,0.003,1.26
2024-05-08,0.725,0.719,0.727,0.716,3733049,268861925.0,1.51,-1.1,-0.008,1.08
2024-05-09,0.718,0.72,0.723,0.717,4086128,293846418.0,0.83,0.14,0.001,1.18
2024-05-10,0.723,0.716,0.726,0.711,3591972,257233115.0,2.08,-0.56,-0.004,1.03
2024-05-13,0.711,0.701,0.711,0.698,5096250,357330747.0,1.82,-2.09,-0.015,1.47
2024-05-14,0.7,0.704,0.707,0.698,3192347,224293332.0,1.28,0.43,0.003,0.92
2024-05-15,0.703,0.7,0.706,0.7,2522179,177216636.0,0.85,-0.57,-0.004,0.73
2024-05-16,0.703,0.708,0.713,0.695,5063657,357475849.0,2.57,1.14,0.008,1.46
2024-05-17,0.708,0.719,0.719,0.705,7121531,506640334.0,1.98,1.55,0.011,2.05
2024-05-20,0.72,0.722,0.733,0.72,5565812,404221661.0,1.81,0.42,0.003,1.6
2024-05-21,0.718,0.718,0.723,0.713,4423056,317351743.0,1.39,-0.55,-0.004,1.27
2024-05-22,0.717,0.711,0.719,0.707,4097020,291497126.0,1.67,-0.97,-0.007,1.18
