日期,开盘,最高,最低,收盘,成交量
2026-01-05,3.09,3.152,3.088,3.15,394175565
2026-01-06,3.157,3.2,3.148,3.195,511493235
2026-01-07,3.195,3.218,3.187,3.203,560107944
2026-01-08,3.196,3.244,3.196,3.231,338257499
2026-01-09,3.226,3.31,3.226,3.305,869145775
2026-01-12,3.323,3.414,3.311,3.406,1050504198
2026-01-13,3.408,3.411,3.318,3.337,959587911
2026-01-14,3.319,3.42,3.302,3.345,1746936879
2026-01-15,3.318,3.35,3.3,3.345,970751647
2026-01-16,3.367,3.371,3.31,3.336,1907144482
2026-01-19,3.276,3.327,3.271,3.304,2148968844
2026-01-20,3.308,3.32,3.242,3.277,1579120385
2026-01-21,3.258,3.323,3.254,3.305,5531528920
2026-01-22,3.315,3.33,3.3,3.33,1968484586
2026-01-23,3.343,3.411,3.33,3.402,3412275226
2026-01-26,3.406,3.424,3.319,3.344,2724660480
2026-01-27,3.331,3.37,3.272,3.357,1658356928
2026-01-28,3.355,3.374,3.332,3.366,2266138347
2026-01-29,3.357,3.394,3.323,3.34,1496102260
2026-01-30,3.321,3.34,3.229,3.311,813444553
2026-02-02,3.274,3.297,3.171,3.175,1501811180
2026-02-03,3.215,3.293,3.204,3.284,892554855
2026-02-04,3.28,3.293,3.239,3.289,989024602
2026-02-05,3.259,3.265,3.21,3.232,710863857
2026-02-06,3.19,3.268,3.177,3.221,1221740140
2026-02-09,3.262,3.304,3.261,3.302,944362426
2026-02-10,3.3,3.312,3.281,3.301,434578018
2026-02-11,3.295,3.328,3.295,3.303,394626399
2026-02-12,3.301,3.344,3.291,3.336,636210441
2026-02-13,3.32,3.332,3.281,3.285,1079324757
2026-02-24,3.321,3.351,3.298,3.322,571900212
2026-02-25,3.328,3.382,3.327,3.371,1352661132
2026-02-26,3.378,3.4,3.358,3.396,1120088952
2026-02-27,3.383,3.432,3.366,3.431,601095827
2026-03-02,3.396,3.42,3.357,3.393,1031242300
2026-03-03,3.396,3.405,3.255,3.268,1084775070
2026-03-04,3.235,3.299,3.226,3.238,806775656
2026-03-05,3.285,3.295,3.248,3.266,778934083
2026-03-06,3.245,3.313,3.245,3.3,454058568
2026-03-09,3.25,3.298,3.197,3.287,700741453
2026-03-10,3.31,3.346,3.309,3.344,627368356
2026-03-11,3.346,3.36,3.335,3.346,414581334
2026-03-12,3.332,3.356,3.302,3.338,398649896
2026-03-13,3.32,3.345,3.282,3.291,331806097
2026-03-16,3.284,3.294,3.235,3.285,384359570
2026-03-17,3.285,3.292,3.21,3.212,530466241
2026-03-18,3.216,3.243,3.191,3.24,988433529
2026-03-19,3.195,3.209,3.152,3.17,566367705
2026-03-20,3.175,3.202,3.114,3.117,790650950
2026-03-23,3.07,3.093,2.944,2.967,1015503106
2026-03-24,3.002,3.046,2.949,3.044,1152965185
2026-03-25,3.062,3.117,3.062,3.101,1132693581
2026-03-26,3.086,3.111,3.049,3.057,434464143
2026-03-27,3.016,3.119,3.016,3.106,474300567
2026-03-30,3.069,3.115,3.048,3.109,572075868
2026-03-31,3.105,3.12,3.05,3.051,511044910
2026-04-01,3.101,3.121,3.081,3.107,582722002
2026-04-02,3.09,3.111,3.032,3.055,537118695
2026-04-03,3.066,3.069,3.012,3.02,365770211
2026-04-07,3.026,3.062,3.025,3.045,609754503
2026-04-08,3.12,3.191,3.1,3.189,1181620016
2026-04-09,3.156,3.186,3.152,3.171,876736237
2026-04-10,3.186,3.231,3.186,3.201,545524973
2026-04-13,3.185,3.219,3.174,3.213,529168811
2026-04-14,3.24,3.265,3.225,3.263,464273580
2026-04-15,3.283,3.284,3.24,3.246,487496477
2026-04-16,3.253,3.305,3.247,3.298,637599764
2026-04-17,3.29,3.343,3.288,3.33,638413390
2026-04-20,3.329,3.359,3.324,3.345,771544832
2026-04-21,3.337,3.348,3.31,3.344,598420528
2026-04-22,3.327,3.402,3.327,3.401,726903783
2026-04-23,3.401,3.406,3.329,3.355,897280040
2026-04-24,3.329,3.355,3.309,3.326,1129195213
2026-04-27,3.323,3.353,3.309,3.339,1184360294
2026-04-28,3.326,3.335,3.282,3.297,1047300385
2026-04-29,3.284,3.351,3.274,3.346,1692582455
2026-04-30,3.336,3.368,3.335,3.362,1784754868
2026-05-06,3.383,3.455,3.383,3.433,1364313617
2026-05-07,3.448,3.497,3.437,3.493,644362484
2026-05-08,3.472,3.516,3.466,3.506,858878388
2026-05-11,3.525,3.569,3.513,3.555,1008020130
2026-05-12,3.555,3.558,3.514,3.54,526347387
2026-05-13,3.51,3.603,3.51,3.598,486650617
2026-05-14,3.61,3.613,3.525,3.529,628072853
2026-05-15,3.526,3.554,3.461,3.488,1098945964
2026-05-18,3.473,3.527,3.461,3.503,677039595
2026-05-19,3.5,3.545,3.454,3.542,646330325
2026-05-20,3.517,3.546,3.492,3.545,667646831
2026-05-21,3.555,3.583,3.422,3.432,1014267883
2026-05-22,3.446,3.531,3.431,3.495,1024574631
