日期,开盘,最高,最低,收盘,成交量
2026-01-05,1.699,1.744,1.697,1.744,62434100
2026-01-06,1.762,1.762,1.724,1.755,70587100
2026-01-07,1.751,1.757,1.736,1.747,56971315
2026-01-08,1.747,1.788,1.745,1.771,79009300
2026-01-09,1.774,1.843,1.766,1.843,85072500
2026-01-12,1.9,2.027,1.873,2.023,188085850
2026-01-13,2.08,2.084,1.942,1.95,256582253
2026-01-14,1.939,2.076,1.938,2.038,217539741
2026-01-15,2.019,2.043,1.981,1.998,146987564
2026-01-16,1.985,2.023,1.95,1.958,108026257
2026-01-19,1.936,1.96,1.909,1.915,149442553
2026-01-20,1.916,1.933,1.85,1.867,87782308
2026-01-21,1.843,1.896,1.84,1.872,91237039
2026-01-22,1.883,1.917,1.883,1.912,99722953
2026-01-23,1.92,1.927,1.899,1.921,86628502
2026-01-26,1.946,1.96,1.892,1.92,122316383
2026-01-27,1.923,1.931,1.878,1.921,118759826
2026-01-28,1.953,1.955,1.913,1.916,136796573
2026-01-29,1.897,1.988,1.884,1.926,165374712
2026-01-30,1.907,1.917,1.859,1.9,123117200
2026-02-02,1.898,1.917,1.84,1.853,77262197
2026-02-03,1.868,1.899,1.832,1.897,92707777
2026-02-04,1.869,1.869,1.8,1.827,126978349
2026-02-05,1.79,1.822,1.79,1.794,88228166
2026-02-06,1.774,1.808,1.756,1.78,64863621
2026-02-09,1.817,1.845,1.806,1.842,64235700
2026-02-10,1.854,1.876,1.841,1.863,157013067
2026-02-11,1.86,1.88,1.851,1.855,82351602
2026-02-12,1.87,1.907,1.86,1.897,90404502
2026-02-13,1.884,1.919,1.879,1.884,72331600
2026-02-24,1.911,1.913,1.826,1.838,87447806
2026-02-25,1.836,1.845,1.818,1.83,60278736
2026-02-26,1.833,1.872,1.825,1.859,81921400
2026-02-27,1.835,1.906,1.835,1.886,115095481
2026-03-02,1.847,1.865,1.829,1.84,87888722
2026-03-03,1.836,1.852,1.758,1.764,100969318
2026-03-04,1.736,1.775,1.73,1.74,92069150
2026-03-05,1.773,1.78,1.749,1.764,67381499
2026-03-06,1.75,1.78,1.745,1.779,72263000
2026-03-09,1.769,1.839,1.736,1.833,114103000
2026-03-10,1.87,1.879,1.817,1.847,203131809
2026-03-11,1.836,1.855,1.822,1.827,73903600
2026-03-12,1.822,1.854,1.801,1.812,86074200
2026-03-13,1.798,1.799,1.751,1.755,145635756
2026-03-16,1.736,1.757,1.719,1.755,85360596
2026-03-17,1.766,1.77,1.711,1.712,81737865
2026-03-18,1.718,1.789,1.718,1.787,119063170
2026-03-19,1.751,1.796,1.75,1.775,89923750
2026-03-20,1.776,1.79,1.72,1.722,77118359
2026-03-23,1.684,1.701,1.626,1.636,79795213
2026-03-24,1.668,1.668,1.617,1.661,70467488
2026-03-25,1.67,1.724,1.67,1.709,106622303
2026-03-26,1.703,1.712,1.652,1.659,69201527
2026-03-27,1.627,1.67,1.626,1.66,58363350
2026-03-30,1.628,1.665,1.61,1.658,47789793
2026-03-31,1.658,1.678,1.633,1.636,54123994
2026-04-01,1.667,1.679,1.66,1.676,66743900
2026-04-02,1.663,1.664,1.608,1.619,60816902
2026-04-03,1.629,1.635,1.611,1.621,54801216
2026-04-07,1.615,1.632,1.601,1.612,43015509
2026-04-08,1.658,1.742,1.655,1.74,120816411
2026-04-09,1.717,1.723,1.701,1.714,81347317
2026-04-10,1.727,1.76,1.725,1.741,97688917
2026-04-13,1.723,1.767,1.718,1.756,65972707
2026-04-14,1.793,1.799,1.768,1.788,75198575
2026-04-15,1.805,1.806,1.758,1.767,78697211
2026-04-16,1.767,1.821,1.767,1.821,127867500
2026-04-17,1.822,1.835,1.813,1.831,75807484
2026-04-20,1.831,1.868,1.825,1.847,94469362
2026-04-21,1.837,1.837,1.794,1.813,102804351
2026-04-22,1.802,1.872,1.8,1.871,87863364
2026-04-23,1.87,1.89,1.844,1.863,107581000
2026-04-24,1.848,1.86,1.795,1.838,126507800
2026-04-27,1.839,1.844,1.802,1.827,71380261
2026-04-28,1.816,1.816,1.767,1.775,87982132
2026-04-29,1.762,1.805,1.762,1.796,55391787
2026-04-30,1.797,1.807,1.77,1.8,78973000
2026-05-06,1.824,1.896,1.824,1.873,116685299
2026-05-07,1.888,1.922,1.863,1.92,117262588
2026-05-08,1.912,1.956,1.899,1.929,154463907
2026-05-11,1.954,1.956,1.907,1.944,110060653
2026-05-12,1.935,1.944,1.901,1.913,143416353
2026-05-13,1.895,1.989,1.892,1.988,133938700
2026-05-14,2.034,2.034,1.903,1.909,168487369
2026-05-15,1.909,1.95,1.875,1.891,174834169
2026-05-18,1.872,1.928,1.872,1.902,108635863
2026-05-19,1.893,1.928,1.875,1.926,121784800
2026-05-20,1.909,1.926,1.883,1.892,104401100
2026-05-21,1.896,1.915,1.799,1.805,143914400
2026-05-22,1.81,1.844,1.797,1.835,107235300
