日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-05-06,0.372,0.377,0.379,0.371,15367478,577464191.0,2.17,2.45,0.009,3.14
2024-05-07,0.378,0.377,0.378,0.375,9026841,340138560.0,0.8,0.0,0.0,1.84
2024-05-08,0.376,0.372,0.377,0.371,10057444,375080150.0,1.59,-1.33,-0.005,2.05
2024-05-09,0.371,0.373,0.375,0.37,11051736,412058735.0,1.34,0.27,0.001,2.26
2024-05-10,0.374,0.371,0.375,0.369,8161790,303141670.0,1.61,-0.54,-0.002,1.67
2024-05-13,0.374,0.371,0.375,0.369,9934690,369608661.0,1.62,0.0,0.0,2.03
2024-05-14,0.371,0.376,0.378,0.37,13003315,488195738.0,2.16,1.35,0.005,2.66
2024-05-15,0.375,0.37,0.375,0.369,8556798,317961359.0,1.6,-1.6,-0.006,1.75
2024-05-16,0.371,0.369,0.372,0.367,11151780,412784247.0,1.35,-0.27,-0.001,2.28
2024-05-17,0.37,0.369,0.372,0.365,13613229,500202358.0,1.9,0.0,0.0,2.78
2024-05-20,0.368,0.369,0.37,0.366,11699664,430609864.0,1.08,0.0,0.0,2.39
2024-05-21,0.368,0.365,0.368,0.363,8279776,302593946.0,1.36,-1.08,-0.004,1.69
2024-05-22,0.365,0.364,0.366,0.362,9688796,352156279.0,1.1,-0.27,-0.001,1.98
2024-05-23,0.363,0.359,0.364,0.359,9744571,351369365.0,1.37,-1.37,-0.005,1.99
2024-05-24,0.359,0.355,0.361,0.355,12624861,450901169.0,1.67,-1.11,-0.004,2.58
2024-05-27,0.355,0.357,0.358,0.352,9200947,326533534.0,1.69,0.56,0.002,1.88
2024-05-28,0.356,0.355,0.358,0.353,8244251,293121810.0,1.4,-0.56,-0.002,1.68
2024-05-29,0.355,0.355,0.357,0.353,7111467,252483399.0,1.13,0.0,0.0,1.45
2024-05-30,0.355,0.353,0.356,0.351,8090870,285832278.0,1.41,-0.56,-0.002,1.65
2024-05-31,0.355,0.352,0.357,0.351,8431083,298235855.0,1.7,-0.28,-0.001,1.72
2024-06-03,0.351,0.35,0.353,0.348,10478995,366759737.0,1.42,-0.57,-0.002,2.14
2024-06-04,0.349,0.357,0.357,0.349,12858061,455239996.0,2.29,2.0,0.007,2.63
2024-06-05,0.356,0.357,0.36,0.355,9604312,343643475.0,1.4,0.0,0.0,1.96
2024-06-06,0.358,0.353,0.358,0.353,9399801,333926539.0,1.4,-1.12,-0.004,1.92
2024-06-07,0.355,0.352,0.356,0.35,8985390,316831868.0,1.7,-0.28,-0.001,1.84
2024-06-11,0.351,0.353,0.354,0.348,9441007,331226049.0,1.7,0.28,0.001,1.93
2024-06-12,0.353,0.354,0.356,0.35,11850917,418312535.0,1.7,0.28,0.001,2.42
2024-06-13,0.354,0.349,0.354,0.348,11176363,391486417.0,1.69,-1.41,-0.005,2.28
2024-06-14,0.348,0.347,0.349,0.342,15162386,523198332.0,2.01,-0.57,-0.002,3.1
2024-06-17,0.345,0.347,0.348,0.344,7311715,253092653.0,1.15,0.0,0.0,1.49
2024-06-18,0.347,0.343,0.348,0.343,10657551,367585402.0,1.44,-1.15,-0.004,2.18
2024-06-19,0.344,0.341,0.345,0.34,8519605,291295575.0,1.46,-0.58,-0.002,1.74
2024-06-20,0.341,0.336,0.343,0.335,12027890,406954189.0,2.35,-1.47,-0.005,2.46
2024-06-21,0.335,0.334,0.336,0.331,10742497,358354383.0,1.49,-0.6,-0.002,2.19
2024-06-24,0.333,0.331,0.335,0.33,12161243,404490135.0,1.5,-0.9,-0.003,2.48
2024-06-25,0.332,0.329,0.333,0.328,10923936,361066358.0,1.51,-0.6,-0.002,2.23
2024-06-26,0.33,0.334,0.335,0.328,11285290,374080937.0,2.13,1.52,0.005,2.31
2024-06-27,0.334,0.329,0.334,0.328,9655909,318665347.0,1.8,-1.5,-0.005,1.97
2024-06-28,0.328,0.326,0.331,0.325,12985833,426227121.0,1.82,-0.91,-0.003,2.65
2024-07-01,0.326,0.327,0.328,0.322,10589362,343825205.0,1.84,0.31,0.001,2.16
2024-07-02,0.326,0.323,0.327,0.322,12197357,395336230.0,1.53,-1.22,-0.004,2.49
2024-07-03,0.323,0.322,0.326,0.32,10442992,336889001.0,1.86,-0.31,-0.001,2.13
2024-07-04,0.322,0.317,0.323,0.317,13886234,442907345.0,1.86,-1.55,-0.005,2.84
2024-07-05,0.316,0.325,0.326,0.315,15643740,500866210.0,3.47,2.52,0.008,3.2
2024-07-08,0.324,0.317,0.324,0.316,11940167,381505850.0,2.46,-2.46,-0.008,2.44
