日期,开盘,最高,最低,收盘,成交量
2026-01-05,4.783,4.848,4.78,4.844,1017132485
2026-01-06,4.85,4.92,4.848,4.919,1052301545
2026-01-07,4.92,4.927,4.876,4.901,933402554
2026-01-08,4.888,4.894,4.843,4.863,682719778
2026-01-09,4.857,4.903,4.844,4.885,1134855258
2026-01-12,4.893,4.929,4.861,4.913,1333075333
2026-01-13,4.922,4.965,4.876,4.896,1271783195
2026-01-14,4.896,4.949,4.841,4.866,2136722288
2026-01-15,4.849,4.894,4.843,4.875,5217148860
2026-01-16,4.905,4.919,4.838,4.859,5320166468
2026-01-19,4.737,4.769,4.718,4.738,2913439864
2026-01-20,4.735,4.751,4.688,4.724,2886765633
2026-01-21,4.709,4.764,4.709,4.73,4903973986
2026-01-22,4.741,4.76,4.703,4.727,4316344208
2026-01-23,4.732,4.742,4.687,4.704,6769378109
2026-01-26,4.712,4.76,4.694,4.712,5939852882
2026-01-27,4.712,4.742,4.679,4.71,4339135015
2026-01-28,4.725,4.743,4.704,4.725,8497782253
2026-01-29,4.724,4.779,4.704,4.768,3545664739
2026-01-30,4.736,4.758,4.642,4.711,1670274801
2026-02-02,4.68,4.719,4.591,4.6,2651134391
2026-02-03,4.64,4.668,4.585,4.664,1052944612
2026-02-04,4.652,4.709,4.643,4.707,1052505916
2026-02-05,4.68,4.695,4.645,4.679,933982876
2026-02-06,4.643,4.691,4.61,4.649,881673740
2026-02-09,4.695,4.73,4.686,4.727,701119504
2026-02-10,4.733,4.739,4.72,4.733,680461663
2026-02-11,4.727,4.732,4.714,4.723,372078690
2026-02-12,4.729,4.735,4.716,4.727,398012411
2026-02-13,4.714,4.714,4.667,4.671,1367357151
2026-02-24,4.725,4.736,4.705,4.716,624245587
2026-02-25,4.717,4.778,4.716,4.75,873403106
2026-02-26,4.751,4.754,4.712,4.735,766372132
2026-02-27,4.72,4.732,4.7,4.725,606245261
2026-03-02,4.694,4.743,4.674,4.739,1242367525
2026-03-03,4.741,4.751,4.665,4.678,966557866
2026-03-04,4.64,4.65,4.587,4.61,829224020
2026-03-05,4.647,4.678,4.639,4.654,568420959
2026-03-06,4.64,4.682,4.624,4.667,504375859
2026-03-09,4.623,4.638,4.56,4.629,838098260
2026-03-10,4.642,4.689,4.641,4.683,546012517
2026-03-11,4.686,4.719,4.682,4.711,593712221
2026-03-12,4.711,4.711,4.665,4.694,343383626
2026-03-13,4.672,4.716,4.67,4.677,325112905
2026-03-16,4.675,4.686,4.632,4.68,403862701
2026-03-17,4.686,4.731,4.645,4.646,723337660
2026-03-18,4.652,4.67,4.616,4.662,770262709
2026-03-19,4.621,4.641,4.581,4.599,772241809
2026-03-20,4.598,4.635,4.573,4.576,761273568
2026-03-23,4.528,4.537,4.406,4.43,1523498110
2026-03-24,4.463,4.48,4.405,4.479,850435100
2026-03-25,4.51,4.549,4.504,4.544,867712637
2026-03-26,4.536,4.547,4.477,4.488,474242414
2026-03-27,4.45,4.53,4.445,4.508,562690826
2026-03-30,4.462,4.505,4.453,4.5,543994287
2026-03-31,4.501,4.529,4.462,4.463,530565553
2026-04-01,4.52,4.542,4.501,4.534,501228066
2026-04-02,4.521,4.526,4.47,4.489,466351103
2026-04-03,4.495,4.506,4.446,4.454,426109595
2026-04-07,4.455,4.47,4.431,4.446,428568561
2026-04-08,4.519,4.604,4.517,4.602,996884580
2026-04-09,4.573,4.586,4.56,4.572,704955323
2026-04-10,4.588,4.664,4.588,4.642,906387271
2026-04-13,4.629,4.66,4.623,4.652,392892599
2026-04-14,4.679,4.712,4.663,4.712,427657077
2026-04-15,4.732,4.746,4.684,4.694,675980605
2026-04-16,4.704,4.747,4.7,4.746,853234423
2026-04-17,4.737,4.75,4.722,4.739,736150074
2026-04-20,4.735,4.777,4.728,4.765,762457819
2026-04-21,4.764,4.786,4.73,4.776,636108137
2026-04-22,4.76,4.813,4.756,4.811,1012592563
2026-04-23,4.82,4.834,4.772,4.801,1008518112
2026-04-24,4.785,4.798,4.75,4.782,719322606
2026-04-27,4.786,4.81,4.773,4.782,928036020
2026-04-28,4.766,4.79,4.757,4.77,864420229
2026-04-29,4.755,4.828,4.755,4.821,1279679774
2026-04-30,4.83,4.841,4.808,4.824,1651786402
2026-05-06,4.866,4.914,4.852,4.888,1867782757
2026-05-07,4.905,4.914,4.879,4.912,2094622649
2026-05-08,4.89,4.902,4.862,4.886,1253564919
2026-05-11,4.911,4.98,4.9,4.966,2116521779
2026-05-12,4.975,4.987,4.944,4.963,1002170459
2026-05-13,4.94,5.023,4.939,5.017,1272615005
2026-05-14,5.037,5.041,4.931,4.941,1028164563
2026-05-15,4.935,4.954,4.852,4.878,1047902445
2026-05-18,4.855,4.885,4.819,4.852,583576370
2026-05-19,4.843,4.874,4.789,4.869,967499889
2026-05-20,4.845,4.882,4.84,4.871,959720086
2026-05-21,4.897,4.954,4.801,4.808,1205577337
2026-05-22,4.828,4.868,4.807,4.862,1325051845
2026-05-25,4.88,4.938,4.872,4.937,1625055928
2026-05-26,4.912,4.975,4.91,4.972,968675161
2026-05-27,4.963,4.993,4.913,4.932,640521540
2026-05-28,4.917,4.948,4.866,4.932,439649824
2026-05-29,4.946,4.978,4.9,4.923,656685445
2026-06-01,4.923,4.94,4.861,4.868,499092716
2026-06-02,4.867,4.956,4.856,4.936,680943744
2026-06-03,4.938,5.016,4.928,4.965,760461891
2026-06-04,4.919,4.961,4.91,4.926,609728284
2026-06-05,4.909,4.948,4.825,4.843,618292734
2026-06-08,4.79,4.808,4.705,4.739,923272364
2026-06-09,4.764,4.828,4.741,4.826,436164482
2026-06-10,4.79,4.814,4.751,4.784,393162295
2026-06-11,4.766,4.793,4.718,4.751,416068768
2026-06-12,4.81,4.846,4.789,4.818,780885896
2026-06-15,4.858,4.92,4.839,4.919,1623300671
2026-06-16,4.92,4.933,4.893,4.91,908529432
2026-06-17,4.898,4.96,4.894,4.958,1391186980
2026-06-18,4.943,5.001,4.941,4.984,1293343039
2026-06-22,4.983,5.095,4.954,5.091,1913157765
2026-06-23,5.079,5.095,4.915,4.942,2617335439
2026-06-24,4.929,4.978,4.916,4.967,2590673409
2026-06-25,4.973,5.055,4.966,5.048,2640608736
2026-06-26,5.008,5.015,4.88,4.907,958242943
2026-06-29,4.897,4.966,4.866,4.959,1484805733
2026-06-30,4.947,5.022,4.942,5.019,2029721263
2026-07-01,5.009,5.054,4.957,4.998,962619027
2026-07-02,4.955,4.96,4.835,4.85,1369153610
2026-07-03,4.83,4.927,4.828,4.876,1998330782
2026-07-06,4.9,4.914,4.831,4.877,617991815
2026-07-07,4.858,4.877,4.796,4.826,698696778
2026-07-08,4.836,4.872,4.793,4.798,484684769
2026-07-09,4.813,4.925,4.777,4.916,955859248
