日期,开盘,最高,最低,收盘,成交量,amount
2024-04-29,5.299,5.31,5.288,5.294,2265815.0,1200650.63
2024-04-30,5.296,5.3,5.271,5.286,1920942.86,1015518.866
2024-05-06,5.224,5.255,5.217,5.254,1766624.46,925928.338
2024-05-07,5.278,5.286,5.261,5.268,1880533.28,990811.477
2024-05-08,5.258,5.279,5.24,5.261,2357123.0,1239904.404
2024-05-09,5.252,5.265,5.242,5.25,2163457.0,1136483.149
2024-05-10,5.33,5.371,5.314,5.369,3037136.0,1620849.7
2024-05-13,5.34,5.358,5.33,5.337,2809580.12,1501938.254
2024-05-14,5.33,5.347,5.316,5.329,2649568.0,1413160.94
2024-05-15,5.36,5.375,5.358,5.37,2157842.4,1158027.386
2024-05-16,5.445,5.45,5.415,5.417,2585079.0,1402789.732
2024-05-17,5.406,5.418,5.397,5.416,2336817.7,1263239.949
2024-05-20,5.519,5.586,5.519,5.55,4070429.9,2258322.876
2024-05-21,5.549,5.549,5.471,5.481,3495102.0,1922435.102
2024-05-22,5.5,5.514,5.48,5.492,1887946.0,1037492.41
2024-05-23,5.38,5.386,5.341,5.366,3144943.9,1689047.274
2024-05-24,5.287,5.321,5.287,5.319,2277705.52,1208676.476
2024-05-27,5.323,5.353,5.323,5.338,2179564.29,1163800.944
2024-05-28,5.367,5.374,5.333,5.334,2159096.0,1157245.338
2024-05-29,5.368,5.384,5.359,5.37,2432938.7,1306488.061
2024-05-30,5.33,5.335,5.295,5.317,2361366.02,1255068.736
2024-05-31,5.334,5.343,5.318,5.343,1597626.0,852282.461
2024-06-03,5.319,5.319,5.274,5.296,2198757.0,1164819.444
2024-06-04,5.34,5.355,5.333,5.346,2009475.28,1074023.297
2024-06-05,5.306,5.338,5.302,5.324,2036654.0,1083539.02
2024-06-06,5.396,5.421,5.387,5.398,2347282.7,1268379.883
2024-06-07,5.413,5.421,5.386,5.399,2569719.0,1388297.622
2024-06-11,5.25,5.259,5.224,5.237,3264085.46,1709839.897
2024-06-12,5.253,5.271,5.253,5.267,1724985.0,907690.635
2024-06-13,5.261,5.27,5.246,5.269,1802420.0,948050.505
2024-06-14,5.249,5.273,5.243,5.271,1889985.0,993324.523
2024-06-17,5.302,5.306,5.275,5.279,1690694.47,894139.289
2024-06-18,5.283,5.296,5.282,5.284,1711599.51,905345.426
2024-06-19,5.301,5.306,5.296,5.305,1973012.0,1046190.17
2024-06-20,5.313,5.354,5.313,5.351,2822644.0,1506017.557
2024-06-21,5.383,5.393,5.374,5.376,2994478.0,1611437.614
2024-06-24,5.3,5.311,5.284,5.29,4959867.0,2625687.712
2024-06-25,5.3,5.303,5.292,5.302,2849134.0,1509273.578
2024-06-26,5.287,5.287,5.253,5.271,3337006.0,1758334.548
2024-06-27,5.236,5.245,5.231,5.242,2674882.0,1401342.548
2024-06-28,5.283,5.299,5.277,5.297,2758656.0,1458430.077
2024-07-01,5.297,5.303,5.281,5.299,1512313.0,801004.633
2024-07-02,5.311,5.317,5.302,5.306,1563664.0,830122.651
2024-07-03,5.31,5.342,5.304,5.34,2049719.0,1090280.419
2024-07-04,5.381,5.386,5.354,5.365,1988890.0,1068750.176
2024-07-05,5.365,5.382,5.363,5.381,2410574.0,1295785.258
2024-07-08,5.427,5.43,5.382,5.384,2655439.45,1435959.703
2024-07-09,5.365,5.372,5.36,5.362,2528560.0,1356850.578
2024-07-10,5.374,5.399,5.373,5.397,1794956.0,966124.726
2024-07-11,5.397,5.422,5.393,5.417,2562810.0,1386798.931
2024-07-12,5.464,5.467,5.442,5.446,2196048.0,1198324.247
2024-07-15,5.452,5.467,5.441,5.442,2132755.0,1163977.241
2024-07-16,5.484,5.507,5.483,5.505,2370895.0,1303552.035
2024-07-17,5.599,5.615,5.553,5.576,3687440.95,2061048.522
2024-07-18,5.555,5.574,5.543,5.573,2554424.0,1419583.184
2024-07-19,5.458,5.471,5.406,5.425,3314023.0,1805186.288
2024-07-22,5.427,5.441,5.417,5.421,2586753.0,1404186.176
2024-07-23,5.43,5.44,5.382,5.394,2374834.0,1284411.213
2024-07-24,5.429,5.466,5.424,5.465,2455964.91,1338315.996
2024-07-25,5.388,5.388,5.32,5.327,3793147.35,2026997.952
2024-07-26,5.312,5.367,5.311,5.35,2451770.0,1310424.241
2024-07-29,5.395,5.399,5.378,5.387,1816319.0,978598.543
2024-07-30,5.379,5.395,5.357,5.394,1624334.0,873324.669
2024-07-31,5.41,5.455,5.405,5.436,2463792.0,1338306.085
2024-08-01,5.501,5.505,5.457,5.48,1997921.82,1095266.141
2024-08-02,5.475,5.506,5.471,5.505,3355711.9,1843472.524
2024-08-05,5.39,5.416,5.343,5.366,4896321.0,2634877.831
2024-08-06,5.35,5.362,5.305,5.327,2934869.0,1566719.099
