日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-05-06,0.817,0.815,0.82,0.812,8200957,669205077.025,1.0,2.13,0.017,7.05
2024-05-07,0.815,0.81,0.816,0.808,5212526,423134867.57,0.98,-0.61,-0.005,4.48
2024-05-08,0.808,0.796,0.809,0.795,6410583,513247319.674,1.73,-1.73,-0.014,5.51
2024-05-09,0.799,0.809,0.812,0.799,7395913,597418658.734,1.63,1.63,0.013,6.36
2024-05-10,0.811,0.8,0.811,0.797,6078317,486716256.663,1.73,-1.11,-0.009,5.23
2024-05-13,0.79,0.788,0.799,0.786,5735562,454187693.9,1.63,-1.5,-0.012,4.93
2024-05-14,0.792,0.787,0.796,0.785,4385433,346086477.2,1.4,-0.13,-0.001,3.77
2024-05-15,0.79,0.782,0.794,0.78,4678482,367816095.7,1.78,-0.64,-0.005,4.02
2024-05-16,0.784,0.786,0.793,0.781,6706689,528118331.6,1.53,0.51,0.004,5.77
2024-05-17,0.783,0.793,0.794,0.779,7990730,627931407.531,1.91,0.89,0.007,6.87
2024-05-20,0.794,0.797,0.802,0.791,6143882,489681013.1,1.39,0.5,0.004,5.28
2024-05-21,0.794,0.789,0.796,0.787,3900528,308376449.748,1.13,-1.0,-0.008,3.35
2024-05-22,0.791,0.801,0.803,0.788,6170431,491156287.681,1.9,1.52,0.012,5.3
2024-05-23,0.798,0.791,0.801,0.788,5621282,445346363.7,1.62,-1.25,-0.01,4.83
2024-05-24,0.787,0.775,0.795,0.774,7937569,620283216.542,2.65,-2.02,-0.016,6.82
2024-05-27,0.777,0.779,0.779,0.767,5423612,418966807.1,1.55,0.52,0.004,4.66
2024-05-28,0.777,0.767,0.778,0.767,4794817,369809854.2,1.41,-1.54,-0.012,4.12
2024-05-29,0.768,0.771,0.782,0.768,5403654,418770923.4,1.83,0.52,0.004,4.65
2024-05-30,0.77,0.773,0.776,0.769,3298009,254682935.98,0.91,0.26,0.002,2.84
2024-05-31,0.773,0.771,0.782,0.77,4392170,340581445.3,1.55,-0.26,-0.002,3.78
2024-06-03,0.769,0.777,0.779,0.766,4900580,379228379.5,1.69,0.78,0.006,4.21
2024-06-04,0.775,0.787,0.79,0.774,8600706,673976847.964,2.06,1.29,0.01,7.39
2024-06-05,0.786,0.784,0.794,0.783,5016531,395679691.296,1.4,-0.38,-0.003,4.31
2024-06-06,0.787,0.779,0.79,0.777,6507814,510338019.9,1.66,-0.64,-0.005,5.59
2024-06-07,0.777,0.76,0.779,0.751,9704083,739622091.569,3.59,-2.44,-0.019,8.34
2024-06-11,0.755,0.761,0.762,0.75,5139375,387756407.807,1.58,0.13,0.001,4.42
2024-06-12,0.757,0.756,0.761,0.754,3234881,244912953.802,0.92,-0.66,-0.005,2.78
2024-06-13,0.759,0.759,0.768,0.756,4562254,347430424.221,1.59,0.4,0.003,3.92
2024-06-14,0.759,0.767,0.768,0.75,5238335,397421131.1,2.37,1.05,0.008,4.5
2024-06-17,0.762,0.775,0.777,0.76,5313635,409935409.4,2.22,1.04,0.008,4.57
